File,NumCameras,CostFuncType,OldBestCost,NewResCost,NewOccCost,NewCombCost,OldZeroPct,NewZeroPct,NewMinCov,NewAvgCov
8Cams_Run_20260408_100168.mat,8,NaN,1.007619,NaN,12.211517,NaN,0.00,0.00,4,7.154
8Cams_Run_20260408_162455.mat,8,NaN,0.030522,NaN,25.648230,NaN,0.00,0.00,4,7.236
8Cams_Run_20260409_051566.mat,8,NaN,0.030397,NaN,20.541212,NaN,0.00,0.00,5,7.656
8Cams_Run_20260409_113947.mat,8,NaN,0.027071,NaN,22.702305,NaN,0.00,0.00,3,7.388
8Cams_Run_20260410_002888.mat,8,NaN,0.020102,NaN,15.506136,NaN,0.00,0.00,4,7.735
8Cams_Run_20260410_074121.mat,8,NaN,0.013394,NaN,19.161234,NaN,0.00,0.00,4,7.344
8Cams_Run_20260420_092653.mat,8,NaN,0.159694,NaN,140.450234,NaN,0.00,0.00,4,7.188
8Cams_Run_20260420_151098.mat,8,NaN,0.159694,NaN,140.450234,NaN,0.00,0.00,4,7.188
8Cams_Run_20260420_205921.mat,8,NaN,0.159694,NaN,140.450234,NaN,0.00,0.00,4,7.188
8Cams_Run_20260421_024967.mat,8,NaN,0.290308,NaN,75.136457,NaN,0.00,0.00,5,7.443
8Cams_Run_20260421_083706.mat,8,NaN,0.200462,NaN,143.032016,NaN,0.00,0.00,3,7.409
8Cams_Run_20260421_142047.mat,8,NaN,0.290308,NaN,75.136457,NaN,0.00,0.00,5,7.443
8Cams_Run_20260421_165819.mat,8,NaN,0.191016,NaN,337.484682,NaN,0.00,0.00,4,7.614
8Cams_Run_20260421_181712.mat,8,NaN,0.185392,NaN,104.285782,NaN,0.00,0.00,4,7.322
8Cams_Run_20260421_193715.mat,8,NaN,0.260869,NaN,102.294124,NaN,0.00,0.00,4,7.360
8Cams_Run_20260421_205655.mat,8,NaN,0.301566,NaN,113.524228,NaN,0.00,0.00,4,7.654
8Cams_Run_20260422_214183.mat,8,NaN,0.024232,NaN,28.590835,NaN,0.00,0.00,4,7.308
8Cams_Run_20260423_040737.mat,8,NaN,0.028197,NaN,25.281546,NaN,0.00,0.00,4,7.379
8Cams_Run_20260423_103280.mat,8,NaN,0.017842,NaN,33.290712,NaN,0.00,0.00,4,7.150
8Cams_Run_20260423_165474.mat,8,NaN,0.015315,NaN,11.741136,NaN,0.00,0.00,5,7.541
8Cams_Run_20260424_055051.mat,8,NaN,0.019220,NaN,15.485206,NaN,0.00,0.00,4,7.591
