File,NumCameras,CostFuncType,OldBestCost,NewResCost,NewOccCost,NewCombCost,OldZeroPct,NewZeroPct,NewMinCov,NewAvgCov
8Cams_Run_20260422_140935.mat,8,NaN,0.000000,14.607513,26.141254,0.102744,0.00,0.00,5,7.135
8Cams_Run_20260422_144003.mat,8,NaN,0.000000,14.607513,26.141254,0.102744,0.00,0.00,5,7.135
8Cams_Run_20260422_151235.mat,8,NaN,0.000000,14.607513,26.141254,0.102744,0.00,0.00,5,7.135
8Cams_Run_20260410_044865.mat,8,NaN,0.013854,14.945555,25.004584,0.103142,0.00,0.00,5,7.137
7Cams_Run_20260405_190236.mat,7,NaN,0.022469,13.659503,30.764696,0.103257,0.00,0.00,3,6.358
7Cams_Run_20260429_153285.mat,7,NaN,0.059456,9.131890,50.981438,0.103593,0.00,0.00,4,6.507
8Cams_Run_20260408_224996.mat,8,NaN,0.028582,13.768152,31.797028,0.104974,0.00,0.00,4,7.310
6Cams_Run_20260415_143874.mat,6,NaN,3.529238,15.323886,25.479892,0.105574,0.00,0.00,4,5.635
8Cams_Run_20260422_025017.mat,8,NaN,0.203362,16.479852,24.324820,0.110041,0.00,0.00,5,7.082
6Cams_Run_20260415_123636.mat,6,NaN,6.090083,16.698325,23.874078,0.110621,0.00,0.00,4,5.544
8Cams_Run_20260408_075141.mat,8,NaN,0.000000,22.093439,0.201389,0.110696,0.00,0.00,5,7.107
8Cams_Run_20260422_123361.mat,8,NaN,0.000000,22.093439,0.201389,0.110696,0.00,0.00,5,7.107
8Cams_Run_20260422_130547.mat,8,NaN,0.000000,22.093439,0.201389,0.110696,0.00,0.00,5,7.107
8Cams_Run_20260422_133786.mat,8,NaN,0.000000,22.093439,0.201389,0.110696,0.00,0.00,5,7.107
6Cams_Run_20260402_033165.mat,6,NaN,0.032592,14.953349,32.824535,0.112067,0.00,0.00,3,5.693
7Cams_Run_20260429_154040.mat,7,NaN,0.058764,11.403123,48.485486,0.112113,0.00,0.00,4,6.560
7Cams_Run_20260429_180662.mat,7,NaN,0.058764,11.403123,48.485486,0.112113,0.00,0.00,4,6.560
